Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,27.000000,27.260000,27.000000,27.219999,27.219999,26400
2017-07-05,27.209999,27.420000,26.709999,26.980000,26.980000,92500
2017-07-06,26.930000,26.930000,26.510000,26.570000,26.570000,85800
2017-07-07,26.590000,26.930000,26.590000,26.879999,26.879999,82200
2017-07-10,26.870001,27.020000,26.370001,26.430000,26.430000,52600
2017-07-11,26.420000,26.549999,26.200001,26.379999,26.379999,65000
2017-07-12,26.500000,27.049999,26.400000,26.530001,26.530001,68600
2017-07-13,26.530001,26.820000,26.270000,26.820000,26.820000,70000
2017-07-14,26.809999,27.209999,26.450001,26.700001,26.700001,62100
2017-07-17,26.690001,27.049999,26.540001,26.690001,26.690001,107200
2017-07-18,26.680000,26.879999,26.110001,26.230000,26.230000,127300
2017-07-19,26.219999,26.510000,26.209999,26.360001,26.360001,108000
2017-07-20,26.389999,26.450001,26.120001,26.350000,26.350000,41200
2017-07-21,26.540001,26.610001,26.230000,26.389999,26.389999,87600
2017-07-24,26.379999,26.590000,26.200001,26.540001,26.540001,303700
2017-07-25,26.600000,27.059999,26.469999,26.799999,26.799999,86800
2017-07-26,26.820000,26.820000,26.410000,26.490000,26.490000,68000
2017-07-27,25.600000,26.080000,24.070000,24.230000,24.230000,317900
2017-07-28,24.090000,24.940001,23.590000,24.910000,24.910000,455900
2017-07-31,24.900000,25.080000,24.370001,24.389999,24.389999,172100
2017-08-01,24.540001,24.730000,24.340000,24.709999,24.709999,89400
